id,title,author,text,label
 lazy brain dead zombies who let Jon Stewart do their thinking for them. They’re intellectual sloths and are 100% unaware of the noose being placed around their neck. HOWEVER, they are internet addicts, and take away an addicts fix, and he/she will react potentially violently. It might just shake enough people from their stupor to effect meaningful change. FirstGarden ,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 with children in many a camp. Derp ,,,,
,,,,
 dissent, nor true diversity. Joey D’Fixer ,,,
 thought, or opinion leaves you mind it is no longer private and you no longer should have any expectations of privacy. In today’s world of the high tech social media this truth is more evident than ever. GrimReaperLady ,,,
,,,,
 as media used to have access and reporters had a presence at the capital. He’s also managed to muzzle ANYONE who comes out and questions the Big Oil agenda. c p ,,,,
,,,,
,,,,
,,,,
,,,,
 during the 1960’s, the English-speaking countries; such as England itself, and Canada, Australia, and New Zealand have already been SHARING “signals-intelligence” information – or electronic “eavesdropping” information – with each other and with Uncle Sam; through the ECHELON electronic eavesdropping network; which was set up back in 1964. 
 with ECHELON members permitting each other to electronically “spy” and “share” intelligence information dealing with each other’s country’s citizens. Thus, by ONE member nation allowing ANOTHER one to gather information on its own citizens – and sharing that same “information” with the others; that consequently, each member nation COULD NOT legally be “accused” of violating its own respective government’s laws prohibiting domestic spying. BART SIMPSONSON ,,
 channels, and programs fellating them daily……. James ,,,
 oil companies spreading disinformation about climate change. Sad times we live in really, difficult to know who to trust on the Internet these days. We all seek out the stories and opinions that support our view on the world. ButIDigress ,,,
,,,,
,,,,
 but these j@ck@sses ramp it up to 11.) Tami Chapman ,,,,
" especially the conservatives. It’s Independents like Sanders who will fight for our rights…people who are not bought by the power elite.""",1,,,
Starkman,"""A Caddo Nation tribal leader has just been freed after spending two days behind bars in North Dakota. Family members say she was simply an innocent bystander in a clash between police and protesters", and was not guilty of anything the police claimed. ,,
,,,,
,,,,
 North Dakota, and now faces charges of conspiracy and rioting. “Part of my family was removed on the Trail of Tears and they came here to Oklahoma and they suffered,” said Francis. “I always feel like each generation – our parents, our grandparents – try to make it better for the next generation and they certainly didn’t want this for my sister.”,
 with the purpose of voicing their “anger at the treatment of the protesters in North Dakota, pointing out this week’s acquittal of armed protesters at an Oregon wildlife refuge earlier this year.”,,,
 it’s shameful,” Comanche Nation tribal council member Sonya Nevaquaya explained.,,,
 you hear of a lot of bursts and leaks and it contaminating the waters. What happens when all of our waters and resources are gone?” Nevaquaya explained. Francis-Fourkiller says she will be traveling back to her home in Norman as soon as possible.,,,,
,,,,
The Doc,"""FBI Closes In On Hillary! Posted on Home » Headlines » World News » FBI Closes In On Hillary! ",,,
,,,,
000 OZ ADDED TO THE SLV/2.67 TONNES ADDED TO THE GLD ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
912. The open interest FELL AS the silver price was UP 63 cents in yesterday’s trading .In ounces, the OI is still represented by just less THAN 1 BILLION oz i.e. .985 BILLION TO BE EXACT or 141% of annual global silver production (ex Russia &ex China). ,,,
 12 notice filings: FOR 60,000 OZ ,,,
,,,,
920 contracts WITH THE RISE in price of gold ($14.90 YESTERDAY) . The total gold OI stands at 521,506 contracts. The bankers supplied the necessary non backed paper trying to quell gold’s advance. ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
912 as the price of silver rose by 63 cents with yesterday’s trading.The gold open interest ROSE by 12,920 contracts UP to 521,506 as the price of gold ROSE $14.90 IN YESTERDAY’S TRADING. ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 in my commentary I wrote that this was this biggest conflict of interest possible and it has now become reality. ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"""Email ",,,
 leaving both the House and the Senate in utter disarray. But although many political strategists believe permanent damage has been done, conservatives shouldn’t lose hope yet, because Speaker of the House Paul Ryan has just emerged fully nude from an ayahuasca tent with visions of a new Republican Party. ,,
 he just proved he’s the only one for the job. ,,,,
 and a bucket to vomit in, Paul Ryan (R-Wis.) spent the last 12 hours lying nude on the jungle floor, enduring bursts of vivid consciousness in which he watched the secrets of a unified, more moderate GOP unfold before his very eyes. ,
 instructed him to remove his clothes, and held him down as lifelike projections of Republican leaders twisted and contorted around him until the perfect cabinet had revealed itself amid infinite realities in which tax cuts and fiscal budgets exploded into cacophonous symphonies, all to create a Republican Party that mobilizes key voter constituencies. ,,
,,,,
 they better watch out! ,,,,
 is it possible that the speaker’s grand ayahuasca visions of a new Republican Party are just a temporary fix? Sure. But on the other hand, if he plays his cards right, his proposals could have an even larger impact than they did during the thousands of years he lived while trapped inside his own mind. ,,
1,,,,
,"""Massachusetts Cop’s Wife Busted for Pinning Fake Home-Invasion Robbery on Black Lives Matter   Source: PINAC ",,,
000 in jewelry and then spray-painting her house with Black Lives Matter to pin it on black people. ,,,,
 took to social media about her dreamt-up victimization after she filed a police report on October 17. ,,,,
” she posted, according to the Boston Herald. ,,,
,,,,
,,,,
,,,,
 telling the officers her valuables had already been recovered. ,,,,
 there was no burglary.” ,,,,
,,,,
,,,,
,,,,
,,,,
 I mean really come on, you’re a cop’s wife. You should know better.” ,,,
,,,,
" according to police. Share This Article...""",1,,,
Ira Helfand,"""Email ",,,
,,,,
 and in the fall of 2015 the UN General Assembly voted to establish an Open Ended Working Group which met in Geneva earlier this year and recommended the negotiations approved Thursday. ,,,,
 but failed badly. The final vote was 123 For, 38 Against and 16 Abstentions. The “No” votes came from the nuclear weapons states, and US allies in NATO, plus Japan, South Korea and Australia which have treaty ties to the US and consider themselves to be under the protection of the “US nuclear umbrella”. 
 India and Pakistan abstaining, and North Korea voting in favor of the treaty negotiations. In addition, the Netherlands defied intense pressure from the rest of NATO and abstained, as did Finland, which is not a member of NATO but has close ties with the alliance. 
 participate in the negotiations when they begin in March. ,,,,
 following Thursday’s vote, it appears overwhelmingly likely that negotiations will begin in March, and that they will involve a significant majority of UN member states, even if the nuclear states continue their boycott. ,
,,,,
,,,,
 someday, perhaps sooner rather than later, they will be used and they will destroy human civilization. The decision is ours. ,,
Amanda Shea,"""Humiliated Hillary Tries To Hide What Camera Caught 15 Mins Before Rally Posted on October 27", 2016 by Amanda Shea in Politics Share This Hillary Clinton outside rally (left), Fox News catching incident on live feed (right) ,
 who was humiliated when a camera caught what she immediately tried to hide to save her campaign — which backfired big time. ,,,,
 the small room should have been jam-packed with people. As the humored hosts noted on the news show, that was far from the case. ,,,
 15,000. There’s maybe a thousand to two thousand people here today,” one host pointed out much to Hillary’s embarrassment. “The Clinton rallies tend to be much smaller and you can see there’s empty space here and she’s supposed to speak in 15 minutes. And I can tell you that as the camera pans across that if we were at a Trump rally this would absolutely be packed,” the commentators added. ,
 and those who do have to be coached on how to chant and act excited. ,,,,
" 2017""",greanfinisher .,"""Why We Are Still In ‘The Danger Zone’ Until January 20th", 2017   17th, 2016 
,,,,
 and only then, that the next president of the United States will be elected. ,,,
 but there have been “faithless electors” before, and if Democrats can get enough of them to switch sides in December it is still possible (though not probable) that Hillary Clinton could win the election. ,,,
,,,,
 encourages members of the Electoral College to cast their votes for Hillary Clinton when the college meets on Dec. 19. The petition argues that Donald Trump is “unfit to serve” and that “Secretary Clinton WON THE POPULAR VOTE and should be President.” ,,,,
” the petition states. “However, they can vote for Hillary Clinton if they choose. Even in states where that is not allowed, their vote would still be counted, they would simply pay a small fine – which we can be sure Clinton supporters will be glad to pay! We are calling on the Electors to ignore their states’ votes and cast their ballots for Secretary Clinton.” ,
 but the gap in electoral votes is almost certainly too wide for the Democrats to overcome. ,,,,
 there have been a multitude of violent threats against Donald Trump and his family. And without a doubt, there are a lot of very powerful people that would be very interested in finding a way to keep Donald Trump from getting to Inauguration Day. So let us pray for his safety and for the safety of his family. ,,,
,,,,
,,,,
,,,,
,,,,
 websites , and the hashtag “#DisruptJ20″ is being widely used all over social media. ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 I don’t think it’s in keeping with the spirit of the transition…to try to push through agenda items that are contrary to the president-elect’s positions,” the advisor told Politico . ,,,
 set the parameters for a “two state solution”, and establish East Jerusalem as the capital for the new Palestinian state. ,,,
 and it would be something that President Trump would not be able to undo. ,,,,
 and at this moment we do not know what he is going to do. The following comes from an article by Leo Hohmann … ,,,,
,,,,
 are preparing for the possibility that a lame-duck President Obama “may try to force a diplomatic resolution for Israel and the Palestinians at the United Nations.” ,,,,
,,,,
,,,,
 and it will also mean that many of the events that I warn about in my latest book are much closer than many had been anticipating. ,,,,
 because Trump has already said that he would not support a UN Security Council resolution that forces a solution on the Israelis and Palestinians. ,,,,
 yesterday I discussed how the legislation that created the Federal Reserve was rushed through Congress right before Christmas in 1913 . ,,,,
,,,,
,,,,
 7 months and 7 days old on his first full day in office on January 21st, and that will happen in year 5777 on the Hebrew calendar. ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 and that path will lead you to the Father and eternal life. YOU CAN KNOW GOD! Mondobeyondo ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 stamping their feet and screaming, “I want it NOW!” It’s the politics of juvenile delinquency. ,,,
 deflect and, as a last resort, attack a conservative. ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 is pushing hard to have hitlery pardoned for all her crimes, before she is even charged. As a crook himself, he has received a free pass because of his so called “religious” connections. Bull caca! Occult religions maybe. Mondobeyondo ,,
 President Obama is trying to make Trump’s transition to the presidency very peaceful and orderly (even though they hate each other). Let’s hope that Trump’s presidency will be a successful one, and that it heals the many divisions and other issues that plague our country. Back in 1985, I bought a brand new book called “The Art of the Deal” at my college bookstore. It was written by some guy named Donald Trump. Yes, I actually did read it. df NJ ,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 protest and riot……its time freedom loving Americans get the right mind set about standing up to tyranny……and apathy, passivity, fear and political correctness will prove ineffective. ,,
,,,,
,,,,
 but something to live for. ,,,,
 other people’s labor – other people’s lives. For too many of us life was no longer free; liberty no longer real; men could no longer follow the pursuit of happiness. ,,,,
,,,,
,,,,
,,,,
,,,,
 behind the scenes, as in GHW Bush. Odrama was chosen by the underworld as a successor to GHWB, and billery. ,,
 Education, and Economics. The four hidden Dynasties. also viewed as Die-Nasty, if one is part of it. ,,
 the underworld/shadow gov, will use any and all means to make their plans come to fruition. ,,,
 to become manifest for His purpose, pleasure, and fulfillment of the end of days, of this age. ,
 is drawing nigh. ,,,,
,,,,
,,,,
b,"""Open Thread (NOT U.S. Election) 2016-39 ",,,
,,,,
 2016 1:59:59 PM | 1 ,,,,
 mainstream media capture and control, and government propaganda. ,,,
,,,,
,,,,
 etc. ,,,,
,,,,
 or consume 'unauthorized' information from countries that are targets of regime change. ,,,,
,,,,
,,,,
 all in the interests of big corporate profits, and global hegemony. The sad truth seems to be, there are no signs its about to change. Posted by: ben | Nov 18, 2016 2:34:13 PM | 3 ,
,,,,
 the basic family unit, etc., while rich people get richer. Isn't it about time to back off on the economic war against Cuba and the rest of the Planet? Our collective cruelty seems to know no bounds? ,,
,,,,
,,,,
 what the process is and how that is being carried out (or not carried out), and what that says about Trump's leadership and decision-making style, how he plans on being President and whether his choices are the right choices for his agenda (if it is genuine) of reforming the political culture on Capitol Hill," or """"draining the swamp"""". ",
 2016 3:01:27 PM | 5 ,,,,
,,,,
 2016 3:04:34 PM | 6 ,,,,
 moa is one of many sites where sharing info is of great benefit and continues.. ,,,,
,,,,
 hollandaze and their italian counterpart have all agreed to continue for another year, the sanctions on russia over ukraine.. the bozo head for nato jens stalenbread or however his name is spelled, continues on with the disingenuous musings of an old king about to reenact a version of humpty dumpty.. ,,
,,,,
 quote, “It is certain that Western countries are standing by Daesh. Now Iraq, Pakistan, Afghanistan, and many others are suffering from terrorism and separatist terrorism.”What’s your comment on that? Do you think it’s a reasonable statement? 
,,,,
,,,,
,,,,
 if this rioting will come to Washington," who says that good ole' Ford Truck can not run over mountain bike of Tesla? Once the shooting starts (hopefully not) it will be a totally different game than Kiev """"Maidan"""". There is also a trend", call it a hunch--most of US combat veterans from US endless wars tend to lean towards people like Trump. Posted by: SmoothieX12 | Nov 18, 2016 3:49:18 PM | 8 ,
,,,,
000,000,000 that 'Obama Paid As Hostage to Iran' was just a setup by the Right, that was Iran's sovereign national wealth held in overseas investments and illegally frozen by the Right as an *act of war*. ,
 the Right again illegally crossed into Iran territory with their Navy patrol boats to create a false 'hostage' narrative. ,,,,
 instead, they traded them for their *interest losses* on their illegally frozen foreign investments. ,,,
 and Jared Kushner getting top secret briefings to pass along to his Israeli blood-diamond partner Lev Leviev, you can bet the Xtian Soldiers will be pouring our blood and our treasure onto the radioactive sands of the Middle East, filling up the VA hospitals again for the Judeo-Xtian Axis of Greater Isreal. ,,
 2016 4:22:24 PM | 9 ,,,,
,,,,
,,,,
 2016 3:49:18 PM | 8 ,,,,
,,,,
 2016 4:28:35 PM | 12 ,,,,
,,,,
 who've been participating in California and all they know about Soros is he made a ton of $$ on Brit Currency bets 2 decades ago. ,,,,
 2016 4:40:06 PM | 13 If this should transpire, then you will see civil unrest. The red states will not go along with the theft of the election for Clinton. ,,,
,,,,
 I think that majority of US Armed Forces officer corps," especially officers """"in the field"""" are Trump supporters. Posted by: SmoothieX12 | Nov 18", 2016 4:50:06 PM | 15 ,,
,,,,
,,,,
,,,,
500 as fact. Like, I made that up. I posted a fake ad on Craigslist,” he told The Washington Post. Posted by: jdmckay | Nov 18, 2016 4:52:36 PM | 16 ,
,,,,
,,,,
 but not exactly surprising. Posted by: lysias | Nov 18, 2016 5:01:17 PM | 19 ,,,
,,,,
,,,,
 he's not going to be so pliable. He sure as fuck isn't going to throw Israel under a bus. He's not going to roll over on all American commitments in the region. ,,,,
,,,,
,,,,
,,,,
,,,,
" it is not a """"couple of years"""". Results of War of 080808 actually stunned DC's neocon interventionist cabal. Posted by: SmoothieX12 | Nov 18", 2016 5:28:28 PM | 22 Who decides which news is fake? ,,,
,,,,
” he told The Post. “I thought I was messing with the campaign, maybe I wasn’t messing them up as much as I wanted — but I never thought he’d actually get elected.” ,,,
,,,,
,,,,
 to keep UN forces out of Greater Israel and torpedo the Two-State Solution and the Right-of-Return agreements which Netanyahu freely boasted he lied about supporting. ,,,,
,,,,
 2016 5:52:07 PM | 24 ,,,,
,,,,
,,,,
,,,,
,"""Can I have one girlfriend without you bastards f**king it up? asks Harry 08-11-16 ",,,
,,,,
,,,,
 fag-scented photographers. ,,,,
,,,,
 okay?” ,,,,
,,,,
,,,,
 especially after Saad Hariri, the leader of the March 14 Alliance and a close ally of Saudi Arabia, voiced his support for Aoun. On this edition of ‘The Debate,’ Press TV has asked two analysts why they believe Hariri threw his weight behind Aoun. ,
 praised Hariri’s measure, adding that with this decision, he actually wanted to bring stability back to Lebanon and thus avoid Syria’s spillover effects. ,,
 adding that by his vote for General Aoun, he aimed to take the country out of the current political deadlock and, ultimately, save it from the repercussions of the Syrian war. ,
,,,,
 about a vision that America’s role in the Middle East is receding. So, perhaps Russia is the new reality in the Middle East, is a new power. So, anything that is somehow close to Russia will be better for Lebanon,” Mikhail argued. 
,,,,
 he displayed again very well maintaining some sort of balance between his Syrian interests and [Persian] Gulf interests and perhaps he can formulate some equilibrium about this.” The image grab shows Gordon Duff (L), a senior editor of Veterans Today based in Ohio, and Nabil Mikhail, a professor at The George Washington University, at Press TV’s ‘The Debate’ show on Monday night. 
,"""0 комментариев 0 поделились Фото: AP ",,,
 которую уже назвал, но и еще из-за одной вещи — потому," что об этих делах я говорить не имею права по закону""""", — сказал Вучич белградскому телеканалу N1. ,
 ссылаясь на близких к правительству Сербии источников, Белград не заинтересован в таком скандале," но и не хочет быть заподозренным в причастности к неким """"террористическим акциям"""". ",,
 что Патрушев предложил сербским властям подписать меморандум о взаимопонимании в области безопасности, который создал бы постоянный канал связи между Москвой и Белградом в этой сфере. ,,,
